"Country";"Region";"Year";"Birth Rate";"Business Tax Rate";"CO2 Emissions";"Days to Start Business";"Ease of Business";"Energy Usage";"GDP";"Health Exp % GDP";"Health Exp/Capita";"Hours to do Tax";"Infant Mortality Rate";"Internet Usage";"Lending Interest";"Life Expectancy Female";"Life Expectancy Male";"Mobile Phone Usage";"Number of Records";"Population 0-14";"Population 15-64";"Population 65+";"Population Total";"Population Urban";"Tourism Inbound";"Tourism Outbound";"id"
"Liberia";"Africa";"12/1/2011";"0.04";"42.90%";"513.846";"6";"";"";"1537753885.00";"0.16";"59.00";"158.00";"0.058";"0.00";"0.138";"61";"59";"0.50";"1.00";"0.432";"0.54";"0.03";"4079697.00";"0.48";"232000000.00";"132000000.00";2314
"Libya";"Africa";"12/1/2011";"0.02";"";"45367.5";"2.69231";"";"13342.00";"34699395524.00";"0.04";"211.00";"";"0.014";"0.10";"0.060";"77";"73";"1.60";"1.00";"0.294";"0.66";"0.05";"6103233.00";"0.78";"";"";2315
"Madagascar";"Africa";"12/1/2011";"0.04";"37.10%";"1490.77";"8";"";"";"9853981624.00";"0.04";"19.00";"201.00";"0.042";"0.00";"0.525";"65";"62";"0.40";"1.00";"0.431";"0.54";"0.03";"21678934.00";"0.33";"";"";2316
"Malawi";"Africa";"12/1/2011";"0.04";"29.00%";"838.846";"39";"";"";"5627898037.00";"0.08";"30.00";"157.00";"0.049";"0.00";"0.238";"54";"54";"0.30";"1.00";"0.456";"0.51";"0.03";"15457531.00";"0.16";"39000000.00";"97000000.00";2317
"Mali";"Africa";"12/1/2011";"0.05";"51.10%";"483.923";"8";"";"";"10647545670.00";"0.07";"51.00";"270.00";"0.081";"0.00";"";"54";"54";"0.80";"1.00";"0.470";"0.50";"0.03";"14416737.00";"0.37";"274000000.00";"224000000.00";2318
"Mauritania";"Africa";"12/1/2011";"0.04";"68.20%";"1449.08";"19";"";"";"4136083856.00";"0.06";"51.00";"696.00";"0.069";"0.00";"0.170";"63";"60";"0.90";"1.00";"0.404";"0.57";"0.03";"3702763.00";"0.57";"";"";2319
"Mauritius";"Africa";"12/1/2011";"0.01";"27.70%";"2928.23";"6";"";"";"11252405860.00";"0.05";"450.00";"161.00";"0.013";"0.40";"0.089";"77";"70";"1.00";"1.00";"0.206";"0.71";"0.08";"1286051.00";"0.40";"1808000000.00";"427000000.00";2320
"Morocco";"Africa";"12/1/2011";"0.02";"49.60%";"37253.2";"12";"";"17283.00";"99211339029.00";"0.06";"195.00";"238.00";"0.028";"0.50";"";"72";"69";"1.10";"1.00";"0.279";"0.67";"0.05";"32059424.00";"0.58";"9101000000.00";"2260000000.00";2321
"Mozambique";"Africa";"12/1/2011";"0.04";"37.50%";"1718.92";"13";"";"10202.00";"12547888400.00";"0.06";"33.00";"230.00";"0.068";"0.00";"0.191";"50";"49";"0.30";"1.00";"0.454";"0.51";"0.03";"24581367.00";"0.31";"266000000.00";"256000000.00";2322
"Namibia";"Africa";"12/1/2011";"0.03";"21.80%";"2018.62";"66";"";"1589.00";"12451760766.00";"0.09";"486.00";"339.00";"0.036";"0.10";"0.087";"66";"61";"1.00";"1.00";"0.371";"0.59";"0.04";"2217618.00";"0.43";"645000000.00";"207000000.00";2323
"Niger";"Africa";"12/1/2011";"0.05";"43.80%";"775.692";"17";"";"";"6411842066.00";"0.07";"25.00";"270.00";"0.064";"0.00";"";"58";"57";"0.30";"1.00";"0.499";"0.48";"0.03";"16511462.00";"0.18";"86000000.00";"";2324
"Nigeria";"Africa";"12/1/2011";"0.04";"32.70%";"76347.2";"28";"";"118325.00";"411743801712.00";"0.06";"85.00";"938.00";"0.079";"0.30";"0.160";"52";"51";"0.60";"1.00";"0.441";"0.53";"0.03";"164192925.00";"0.44";"688000000.00";"9534000000.00";2325
"Rwanda";"Africa";"12/1/2011";"0.04";"31.00%";"520.077";"3";"";"";"6406727020.00";"0.11";"62.00";"148.00";"0.041";"0.10";"";"65";"61";"0.40";"1.00";"0.442";"0.54";"0.02";"11144315.00";"0.25";"298000000.00";"147000000.00";2326
"Sao Tome and Principe";"Africa";"12/1/2011";"0.04";"32.50%";"62.8462";"10";"";"";"248286778.00";"0.08";"108.00";"424.00";"0.039";"0.20";"0.270";"68";"64";"0.60";"1.00";"0.416";"0.55";"0.04";"183177.00";"0.63";"15900000.00";"1400000.00";2327
"Senegal";"Africa";"12/1/2011";"0.04";"45.50%";"4418.69";"6";"";"3515.00";"14440676498.00";"0.05";"54.00";"666.00";"0.046";"0.20";"";"65";"62";"0.70";"1.00";"0.436";"0.53";"0.03";"13330737.00";"0.43";"";"";2328
"Seychelles";"Africa";"12/1/2011";"0.02";"32.20%";"562.462";"39";"";"";"1059593023.00";"0.04";"413.00";"76.00";"0.012";"0.40";"0.112";"78";"68";"1.40";"1.00";"0.222";"0.70";"0.08";"87441.00";"0.53";"31000000.00";"5000000.00";2329
"Sierra Leone";"Africa";"12/1/2011";"0.04";"32.40%";"524.308";"12";"";"";"2932273988.00";"0.16";"82.00";"357.00";"0.112";"0.00";"0.210";"45";"45";"0.40";"1.00";"0.420";"0.55";"0.03";"5865491.00";"0.39";"44000000.00";"29000000.00";2330
"Somalia";"Africa";"12/1/2011";"0.05";"";"485.769";"0";"";"";"";"";"";"";"0.095";"0.00";"";"56";"53";"0.20";"1.00";"0.475";"0.50";"0.03";"9907903.00";"0.38";"";"";2331
"South Africa";"Africa";"12/1/2011";"0.02";"32.40%";"352360";"19";"";"141372.00";"403894316555.00";"0.09";"670.00";"200.00";"0.034";"0.30";"0.090";"57";"53";"1.20";"1.00";"0.296";"0.65";"0.05";"51579599.00";"0.63";"10707000000.00";"8397000000.00";2332
"Sudan";"Africa";"12/1/2011";"0.03";"36.10%";"8926.69";"36";"";"16622.00";"67320812663.00";"0.07";"119.00";"180.00";"0.054";"0.20";"";"63";"60";"0.70";"1.00";"0.418";"0.55";"0.03";"36430923.00";"0.33";"185000000.00";"937000000.00";2334
"Swaziland";"Africa";"12/1/2011";"0.03";"36.50%";"905.077";"56";"";"";"4145772237.00";"0.08";"270.00";"104.00";"0.058";"0.20";"0.090";"48";"49";"0.60";"1.00";"0.384";"0.58";"0.03";"1212159.00";"0.21";"";"";2335
"Tanzania";"Africa";"12/1/2011";"0.04";"44.90%";"4237.38";"26";"";"20747.00";"23874165047.00";"0.07";"38.00";"172.00";"0.039";"0.00";"0.150";"61";"59";"0.60";"1.00";"0.449";"0.52";"0.03";"46354607.00";"0.29";"1383000000.00";"928000000.00";2336
"Togo";"Africa";"12/1/2011";"0.04";"48.90%";"1152.69";"84";"";"2764.00";"3756023048.00";"0.08";"43.00";"270.00";"0.059";"0.00";"";"57";"55";"0.40";"1.00";"0.420";"0.55";"0.03";"6472304.00";"0.38";"";"";2337
"Tunisia";"Africa";"12/1/2011";"0.02";"62.40%";"19315.1";"11";"";"9504.00";"45951129422.00";"0.07";"304.00";"144.00";"0.014";"0.40";"";"77";"73";"1.20";"1.00";"0.233";"0.70";"0.07";"10673800.00";"0.66";"2529000000.00";"678000000.00";2338
"Uganda";"Africa";"12/1/2011";"0.04";"35.00%";"2058.62";"33";"";"";"15493320082.00";"0.09";"41.00";"213.00";"0.049";"0.10";"0.218";"59";"57";"0.50";"1.00";"0.487";"0.49";"0.02";"35148064.00";"0.15";"967000000.00";"528000000.00";2339
"Zambia";"Africa";"12/1/2011";"0.04";"14.40%";"1731.54";"18";"";"8462.00";"19201691493.00";"0.06";"87.00";"183.00";"0.059";"0.10";"0.188";"57";"54";"0.60";"1.00";"0.468";"0.51";"0.03";"13633796.00";"0.39";"146000000.00";"140000000.00";2340
"Zimbabwe";"Africa";"12/1/2011";"0.03";"34.30%";"8967.62";"90";"";"9312.00";"10956226611.00";"";"";"242.00";"0.058";"0.20";"";"56";"55";"0.70";"1.00";"0.408";"0.55";"0.04";"13358738.00";"0.33";"664000000.00";"";2341
"Afghanistan";"Asia";"12/1/2011";"0.04";"36.30%";"2010.23";"7";"";"";"17870159082.00";"0.08";"48.00";"275.00";"0.074";"0.10";"0.151";"61";"59";"0.60";"1.00";"0.481";"0.50";"0.02";"29105480.00";"0.25";"137000000.00";"127000000.00";2342
"Armenia";"Asia";"12/1/2011";"0.01";"38.80%";"3466.54";"8";"";"2716.00";"10142342770.00";"0.04";"127.00";"500.00";"0.015";"0.30";"0.178";"78";"71";"1.10";"1.00";"0.204";"0.69";"0.10";"2964120.00";"0.63";"486000000.00";"546000000.00";2343
"Azerbaijan";"Asia";"12/1/2011";"0.02";"40.00%";"30737.9";"8";"";"12561.00";"65951627200.00";"0.05";"359.00";"225.00";"0.032";"0.50";"0.190";"74";"68";"1.10";"1.00";"0.224";"0.72";"0.06";"9173082.00";"0.54";"1500000000.00";"1778000000.00";2344
"Bangladesh";"Asia";"12/1/2011";"0.02";"35.00%";"35133.8";"19";"";"31294.00";"111905616039.00";"0.04";"27.00";"302.00";"0.037";"0.10";"0.133";"71";"69";"0.60";"1.00";"0.311";"0.64";"0.05";"152862431.00";"0.31";"97000000.00";"819000000.00";2345
"Bhutan";"Asia";"12/1/2011";"0.02";"40.80%";"335.462";"36";"";"";"1840841618.00";"0.04";"94.00";"274.00";"0.033";"0.20";"0.140";"68";"67";"0.70";"1.00";"0.291";"0.66";"0.05";"729429.00";"0.36";"76000000.00";"58000000.00";2346
"Brunei Darussalam";"Asia";"12/1/2011";"0.02";"16.80%";"5978.77";"101";"";"3832.00";"16691360399.00";"0.02";"917.00";"96.00";"0.008";"0.60";"0.055";"80";"76";"1.10";"1.00";"0.262";"0.70";"0.04";"406512.00";"0.76";"";"";2347
"Cambodia";"Asia";"12/1/2011";"0.03";"21.40%";"2517.69";"102";"";"5333.00";"12829541141.00";"0.06";"49.00";"173.00";"0.036";"0.00";"";"74";"68";"0.90";"1.00";"0.314";"0.63";"0.05";"14605862.00";"0.20";"1790000000.00";"333000000.00";2348
"China";"Asia";"12/1/2011";"0.01";"63.50%";"4800860";"38";"";"2727728.00";"7321891954613.00";"0.05";"274.00";"358.00";"0.013";"0.40";"0.066";"76";"74";"0.70";"1.00";"0.180";"0.74";"0.09";"1344130000.00";"0.51";"53313000000.00";"79010000000.00";2349
"Georgia";"Asia";"12/1/2011";"0.01";"16.50%";"4287.31";"2";"";"3543.00";"14434619972.00";"0.09";"310.00";"387.00";"0.014";"0.30";"0.150";"78";"70";"1.00";"1.00";"0.174";"0.68";"0.14";"4483350.00";"0.53";"1069000000.00";"384000000.00";2350
"Hong Kong SAR, China";"Asia";"12/1/2011";"0.01";"23.00%";"32676.3";"3";"";"14894.00";"248514003083.00";"";"";"80.00";"";"0.70";"0.050";"87";"80";"2.20";"1.00";"0.119";"0.75";"0.13";"7071600.00";"1.00";"33169000000.00";"19172000000.00";2351
"India";"Asia";"12/1/2011";"0.02";"62.90%";"1275150";"29";"";"749447.00";"1880100141185.00";"0.04";"62.00";"254.00";"0.045";"0.10";"0.102";"68";"64";"0.70";"1.00";"0.298";"0.65";"0.05";"1221156319.00";"0.31";"17708000000.00";"13699000000.00";2352
"Indonesia";"Asia";"12/1/2011";"0.02";"32.20%";"298587";"48";"";"209009.00";"845931645339.00";"0.03";"99.00";"266.00";"0.026";"0.10";"0.124";"72";"68";"1.00";"1.00";"0.296";"0.65";"0.05";"243801639.00";"0.51";"9038000000.00";"8653000000.00";2353
"Japan";"Asia";"12/1/2011";"0.01";"48.40%";"1025740";"22";"";"461468.00";"5905630870455.00";"0.10";"4641.00";"330.00";"0.002";"0.80";"0.015";"86";"79";"1.00";"1.00";"0.132";"0.63";"0.24";"127817277.00";"0.91";"12534000000.00";"39760000000.00";2354
"Kazakhstan";"Asia";"12/1/2011";"0.02";"28.60%";"156665";"19";"";"78101.00";"188048960311.00";"0.04";"458.00";"188.00";"0.018";"0.50";"";"74";"64";"1.60";"1.00";"0.252";"0.68";"0.07";"16556600.00";"0.54";"1524000000.00";"1831000000.00";2355
"Korea, Dem. Rep.";"Asia";"12/1/2011";"0.01";"";"65528.8";"0";"";"19037.00";"";"";"";"";"0.024";"";"";"73";"66";"0.00";"1.00";"0.223";"0.69";"0.09";"24631291.00";"0.60";"";"";2356
"Korea, Rep.";"Asia";"12/1/2011";"0.01";"28.70%";"409726";"6";"";"260440.00";"1202463655510.00";"0.07";"1652.00";"225.00";"0.003";"0.80";"0.058";"84";"78";"1.10";"1.00";"0.157";"0.73";"0.11";"49779440.00";"0.82";"17467000000.00";"22209000000.00";2357
"Kyrgyz Republic";"Asia";"12/1/2011";"0.03";"33.40%";"4537.92";"10";"";"3097.00";"6197766119.00";"0.06";"71.00";"210.00";"0.025";"0.20";"0.402";"74";"66";"1.20";"1.00";"0.301";"0.66";"0.04";"5514600.00";"0.35";"689000000.00";"566000000.00";2358
"Lao PDR";"Asia";"12/1/2011";"0.03";"31.90%";"1208.62";"93";"";"";"8254088067.00";"0.03";"35.00";"362.00";"0.057";"0.10";"";"69";"66";"0.80";"1.00";"0.362";"0.60";"0.04";"6521314.00";"0.34";"413000000.00";"248000000.00";2359
"Macao SAR, China";"Asia";"12/1/2011";"0.01";"";"1269.77";"0";"";"";"36634742799.00";"";"";"";"";"0.60";"0.053";"82";"78";"2.50";"1.00";"0.124";"0.80";"0.07";"546278.00";"1.00";"38976000000.00";"1476000000.00";2360
"Malaysia";"Asia";"12/1/2011";"0.02";"34.00%";"147176";"6";"";"75907.00";"289258937259.00";"0.04";"384.00";"133.00";"0.007";"0.60";"0.049";"77";"72";"1.30";"1.00";"0.272";"0.68";"0.05";"28758968.00";"0.72";"19649000000.00";"10180000000.00";2361
"Maldives";"Asia";"12/1/2011";"0.02";"9.30%";"676.308";"9";"";"";"2162990126.00";"0.08";"525.00";"";"0.010";"0.30";"0.102";"78";"76";"1.60";"1.00";"0.294";"0.66";"0.05";"331964.00";"0.41";"1868000000.00";"256000000.00";2362
"Mongolia";"Asia";"12/1/2011";"0.02";"24.60%";"7776.23";"13";"";"3607.00";"8761426371.00";"0.06";"190.00";"192.00";"0.028";"0.10";"0.166";"71";"63";"1.10";"1.00";"0.270";"0.69";"0.04";"2754209.00";"0.69";"258000000.00";"404000000.00";2363
"Myanmar";"Asia";"12/1/2011";"0.02";"";"8890.46";"5.53846";"";"14056.00";"";"0.02";"19.00";"";"0.042";"0.00";"0.163";"67";"63";"0.00";"1.00";"0.257";"0.69";"0.05";"52350763.00";"0.32";"293000000.00";"132000000.00";2364
"Nepal";"Asia";"12/1/2011";"0.02";"31.50%";"2617.69";"29";"";"10391.00";"18850351853.00";"0.06";"41.00";"326.00";"0.035";"0.10";"";"69";"66";"0.50";"1.00";"0.364";"0.59";"0.05";"27156367.00";"0.17";"415000000.00";"420000000.00";2365
"Pakistan";"Asia";"12/1/2011";"0.03";"34.60%";"115145";"21";"";"84845.00";"213685918599.00";"0.03";"36.00";"560.00";"0.072";"0.10";"0.144";"67";"65";"0.60";"1.00";"0.349";"0.61";"0.04";"176166353.00";"0.37";"1123000000.00";"1851000000.00";2366
"Philippines";"Asia";"12/1/2011";"0.03";"44.50%";"61985.3";"36";"";"40452.00";"224095219329.00";"0.04";"105.00";"195.00";"0.025";"0.30";"0.067";"72";"65";"1.00";"1.00";"0.349";"0.61";"0.04";"95053437.00";"0.45";"4026000000.00";"5807000000.00";2367
"Singapore";"Asia";"12/1/2011";"0.01";"27.10%";"26333.3";"3";"";"33447.00";"274065043106.00";"0.04";"2144.00";"84.00";"0.002";"0.70";"0.054";"84";"80";"1.50";"1.00";"0.169";"0.74";"0.09";"5183700.00";"1.00";"18082000000.00";"21437000000.00";2368
"Sri Lanka";"Asia";"12/1/2011";"0.02";"112.90%";"9793.15";"37";"";"10421.00";"59178013928.00";"0.03";"93.00";"256.00";"0.009";"0.20";"0.094";"77";"71";"0.90";"1.00";"0.251";"0.67";"0.08";"20869000.00";"0.18";"1421000000.00";"926000000.00";2369
"Tajikistan";"Asia";"12/1/2011";"0.03";"84.50%";"2165.54";"24";"";"2395.00";"6522732203.00";"0.06";"48.00";"224.00";"0.043";"0.10";"0.248";"71";"64";"0.80";"1.00";"0.358";"0.61";"0.03";"7814850.00";"0.27";"39800000.00";"8400000.00";2370
"Thailand";"Asia";"12/1/2011";"0.01";"36.90%";"208023";"29";"";"119147.00";"345672232116.00";"0.04";"214.00";"264.00";"0.012";"0.20";"0.069";"77";"71";"1.20";"1.00";"0.189";"0.72";"0.09";"66576332.00";"0.45";"30926000000.00";"7320000000.00";2371
"Timor-Leste";"Asia";"12/1/2011";"0.04";"11.00%";"122.615";"94";"";"";"1128300000.00";"0.05";"46.00";"276.00";"0.050";"0.00";"0.110";"68";"65";"0.60";"1.00";"0.469";"0.50";"0.03";"1120392.00";"0.30";"24000000.00";"63000000.00";2372
"Turkmenistan";"Asia";"12/1/2011";"0.02";"";"38634.7";"0";"";"24710.00";"29233333333.00";"0.02";"114.00";"";"0.050";"0.10";"";"69";"61";"1.00";"1.00";"0.289";"0.67";"0.04";"5106668.00";"0.49";"";"";2373
"Uzbekistan";"Asia";"12/1/2011";"0.02";"97.50%";"99795.7";"14";"";"47755.00";"45324319955.00";"0.06";"91.00";"205.00";"0.039";"0.30";"";"71";"65";"0.90";"1.00";"0.293";"0.66";"0.04";"29339400.00";"0.36";"";"";2374
"Vietnam";"Asia";"12/1/2011";"0.02";"40.00%";"83569.8";"38";"";"61210.00";"135539487317.00";"0.07";"93.00";"941.00";"0.020";"0.40";"0.170";"80";"71";"1.40";"1.00";"0.231";"0.70";"0.07";"87840000.00";"0.31";"5710000000.00";"1710000000.00";2375
"Albania";"Europe";"12/1/2011";"0.01";"31.50%";"3301.77";"6";"";"2173.00";"12890867763.00";"0.06";"243.00";"371.00";"0.014";"0.50";"0.124";"80";"74";"1.00";"1.00";"0.221";"0.68";"0.10";"2829337.00";"0.53";"1833000000.00";"1678000000.00";2376
"Andorra";"Europe";"12/1/2011";"0.00923077";"";"454.923";"0";"";"";"";"0.07";"3053.00";"";"0.002";"0.80";"";"";"";"0.80";"1.00";"";"";"";"77865.00";"0.87";"";"";2377
"Austria";"Europe";"12/1/2011";"0.01";"52.30%";"57934.3";"25";"";"33019.00";"415984217115.00";"0.11";"5643.00";"170.00";"0.003";"0.80";"";"84";"78";"1.50";"1.00";"0.146";"0.67";"0.18";"8406187.00";"0.66";"22453000000.00";"12920000000.00";2378
"Belarus";"Europe";"12/1/2011";"0.01";"62.30%";"48978.5";"10";"";"29501.00";"59734593905.00";"0.05";"311.00";"654.00";"0.004";"0.40";"0.136";"77";"65";"1.10";"1.00";"0.149";"0.71";"0.14";"9473000.00";"0.75";"747000000.00";"729000000.00";2379
"Belgium";"Europe";"12/1/2011";"0.01";"57.00%";"92286.2";"4";"";"59094.00";"513317999900.00";"0.11";"4914.00";"156.00";"0.004";"0.80";"";"83";"78";"1.10";"1.00";"0.168";"0.66";"0.17";"11047744.00";"0.98";"13008000000.00";"24215000000.00";2380
"Bosnia and Herzegovina";"Europe";"12/1/2011";"0.01";"23.70%";"22160";"40";"";"7095.00";"18252896439.00";"0.10";"471.00";"422.00";"0.006";"0.60";"0.074";"79";"73";"0.80";"1.00";"0.169";"0.68";"0.15";"3839322.00";"0.39";"734000000.00";"238000000.00";2381
"Bulgaria";"Europe";"12/1/2011";"0.01";"27.20%";"39742.7";"18";"";"19216.00";"53542780661.00";"0.07";"522.00";"500.00";"0.011";"0.50";"0.106";"78";"71";"1.40";"1.00";"0.134";"0.68";"0.19";"7348328.00";"0.73";"4554000000.00";"1498000000.00";2382
"Croatia";"Europe";"12/1/2011";"0.01";"21.90%";"18869.2";"8";"";"8439.00";"61520901516.00";"0.07";"992.00";"196.00";"0.004";"0.60";"0.097";"80";"74";"1.20";"1.00";"0.151";"0.67";"0.18";"4280622.00";"0.58";"9638000000.00";"919000000.00";2383
"Cyprus";"Europe";"12/1/2011";"0.01";"22.00%";"6437.85";"8";"";"2368.00";"24851264943.00";"0.07";"2123.00";"149.00";"0.003";"0.60";"";"82";"77";"1.00";"1.00";"0.174";"0.71";"0.12";"1116513.00";"0.67";"2751000000.00";"1721000000.00";2384
"Czech Republic";"Europe";"12/1/2011";"0.01";"48.10%";"101436";"20";"";"43429.00";"216061200559.00";"0.08";"1545.00";"557.00";"0.003";"0.70";"0.057";"81";"75";"1.20";"1.00";"0.143";"0.70";"0.16";"10496088.00";"0.73";"8503000000.00";"4660000000.00";2385
"Denmark";"Europe";"12/1/2011";"0.01";"26.40%";"41693.5";"6";"";"17997.00";"333743578564.00";"0.11";"6521.00";"135.00";"0.003";"0.90";"";"82";"78";"1.30";"1.00";"0.178";"0.65";"0.17";"5570572.00";"0.87";"6366000000.00";"9840000000.00";2386
"Estonia";"Europe";"12/1/2011";"0.01";"57.60%";"14028.7";"7";"";"5603.00";"22542967739.00";"0.06";"928.00";"81.00";"0.003";"0.80";"0.061";"81";"71";"1.40";"1.00";"0.155";"0.67";"0.18";"1327439.00";"0.68";"1683000000.00";"939000000.00";2387
"Faeroe Islands";"Europe";"12/1/2011";"0.01";"";"634";"0";"";"";"";"";"";"";"";"0.80";"";"84";"79";"1.20";"1.00";"";"";"";"49551.00";"0.41";"";"";2388
"Finland";"Europe";"12/1/2011";"0.01";"39.00%";"50927.1";"14";"";"34749.00";"262379400238.00";"0.09";"4411.00";"93.00";"0.002";"0.90";"";"84";"77";"1.70";"1.00";"0.164";"0.66";"0.18";"5388272.00";"0.84";"5591000000.00";"6009000000.00";2389
"France";"Europe";"12/1/2011";"0.01";"64.70%";"319324";"7";"";"252827.00";"2782210861683.00";"0.12";"4968.00";"132.00";"0.004";"0.80";"";"86";"79";"0.90";"1.00";"0.183";"0.65";"0.17";"65343588.00";"0.79";"65959000000.00";"53914000000.00";2390
"Germany";"Europe";"12/1/2011";"0.01";"45.60%";"679407";"15";"";"311770.00";"3628110015053.00";"0.11";"4996.00";"221.00";"0.003";"0.80";"";"83";"78";"1.10";"1.00";"0.133";"0.66";"0.21";"81797673.00";"0.75";"53399000000.00";"100165000000.00";2391
"Greece";"Europe";"12/1/2011";"0.01";"45.90%";"80432";"11";"";"26723.00";"289886951188.00";"0.09";"2304.00";"224.00";"0.004";"0.50";"";"84";"78";"1.10";"1.00";"0.146";"0.66";"0.19";"11123213.00";"0.77";"14984000000.00";"3197000000.00";2392
"Hungary";"Europe";"12/1/2011";"0.01";"52.00%";"47054.2";"4";"";"24964.00";"137452115093.00";"0.08";"1096.00";"277.00";"0.006";"0.70";"0.083";"79";"71";"1.20";"1.00";"0.146";"0.69";"0.17";"9971727.00";"0.69";"6929000000.00";"3028000000.00";2393
"Iceland";"Europe";"12/1/2011";"0.01";"29.60%";"1827.92";"5";"";"5731.00";"14042801904.00";"0.09";"4051.00";"140.00";"0.002";"0.90";"0.077";"84";"81";"1.10";"1.00";"0.208";"0.67";"0.12";"319014.00";"0.94";"751000000.00";"740000000.00";2394
"Ireland";"Europe";"12/1/2011";"0.02";"25.40%";"36290.1";"13";"";"13216.00";"226035376257.00";"0.09";"4306.00";"76.00";"0.003";"0.70";"";"83";"79";"1.10";"1.00";"0.215";"0.67";"0.12";"4576794.00";"0.62";"9526000000.00";"6837000000.00";2395
"Italy";"Europe";"12/1/2011";"0.01";"67.70%";"381233";"6";"";"167416.00";"2196336800620.00";"0.09";"3339.00";"285.00";"0.003";"0.50";"0.046";"85";"80";"1.60";"1.00";"0.140";"0.65";"0.21";"59379449.00";"0.68";"45368000000.00";"35724000000.00";2397
"Latvia";"Europe";"12/1/2011";"0.01";"37.10%";"6052.69";"16";"";"4371.00";"28480338368.00";"0.06";"826.00";"290.00";"0.008";"0.70";"0.064";"79";"69";"1.10";"1.00";"0.143";"0.67";"0.19";"2059709.00";"0.68";"1102000000.00";"920000000.00";2399
"Lithuania";"Europe";"12/1/2011";"0.01";"43.10%";"11481.1";"22";"";"7287.00";"43083067994.00";"0.07";"887.00";"175.00";"0.005";"0.60";"";"79";"68";"1.60";"1.00";"0.151";"0.69";"0.16";"3028115.00";"0.67";"1417000000.00";"874000000.00";2401
"Luxembourg";"Europe";"12/1/2011";"0.01";"19.80%";"8713.23";"19";"";"4171.00";"58009863403.00";"0.07";"7751.00";"59.00";"0.002";"0.90";"";"84";"79";"1.50";"1.00";"0.175";"0.69";"0.14";"518347.00";"0.89";"4825000000.00";"3822000000.00";2402
"Macedonia, FYR";"Europe";"12/1/2011";"0.01";"8.40%";"9632.69";"3";"";"3122.00";"10395222334.00";"0.07";"344.00";"119.00";"0.008";"0.60";"0.089";"77";"73";"1.10";"1.00";"0.171";"0.71";"0.12";"2103890.00";"0.57";"242000000.00";"159000000.00";2403
"Malta";"Europe";"12/1/2011";"0.01";"41.00%";"2126.92";"40";"";"857.00";"9302057270.00";"0.09";"1900.00";"139.00";"0.005";"0.70";"0.047";"83";"79";"1.20";"1.00";"0.153";"0.70";"0.15";"416268.00";"0.95";"1465000000.00";"401000000.00";2404
"Moldova";"Europe";"12/1/2011";"0.01";"30.80%";"3754.54";"9";"";"3331.00";"7016162818.00";"0.11";"224.00";"228.00";"0.014";"0.40";"0.144";"73";"65";"0.90";"1.00";"0.165";"0.72";"0.11";"3559986.00";"0.45";"262000000.00";"374000000.00";2405
"Montenegro";"Europe";"12/1/2011";"0.01";"20.90%";"1065.15";"10";"";"1179.00";"4501753898.00";"0.07";"522.00";"372.00";"0.006";"0.40";"0.097";"77";"72";"1.90";"1.00";"0.193";"0.68";"0.13";"620644.00";"0.63";"926000000.00";"70000000.00";2407
"Netherlands";"Europe";"12/1/2011";"0.01";"39.60%";"145670";"8";"";"77419.00";"832755438977.00";"0.12";"5997.00";"127.00";"0.004";"0.90";"0.020";"83";"79";"1.20";"1.00";"0.173";"0.67";"0.16";"16693074.00";"0.88";"20970000000.00";"20884000000.00";2408
"Norway";"Europe";"12/1/2011";"0.01";"40.70%";"37614.9";"7";"";"28137.00";"490806911071.00";"0.10";"9908.00";"87.00";"0.003";"0.90";"";"84";"79";"1.20";"1.00";"0.187";"0.66";"0.15";"4953088.00";"0.79";"6301000000.00";"16833000000.00";2409
"Poland";"Europe";"12/1/2011";"0.01";"39.50%";"260206";"32";"";"101313.00";"515771297421.00";"0.07";"915.00";"296.00";"0.005";"0.60";"";"81";"73";"1.30";"1.00";"0.149";"0.71";"0.14";"38534157.00";"0.61";"11598000000.00";"8882000000.00";2410
"Portugal";"Europe";"12/1/2011";"0.01";"42.70%";"51577.8";"4";"";"23084.00";"237888302256.00";"0.10";"2302.00";"275.00";"0.003";"0.60";"";"84";"77";"1.20";"1.00";"0.150";"0.67";"0.18";"10557560.00";"0.61";"14882000000.00";"4948000000.00";2411
"Romania";"Europe";"12/1/2011";"0.01";"43.10%";"78623.1";"14";"";"35830.00";"182610666616.00";"0.06";"480.00";"222.00";"0.012";"0.40";"0.121";"78";"71";"1.10";"1.00";"0.150";"0.70";"0.15";"20147528.00";"0.54";"2018000000.00";"2295000000.00";2412
"Russian Federation";"Europe";"12/1/2011";"0.01";"46.90%";"1374260";"29";"";"730970.00";"1904793021649.00";"0.06";"803.00";"290.00";"0.010";"0.50";"0.085";"76";"64";"1.40";"1.00";"0.151";"0.72";"0.13";"142956460.00";"0.74";"16961000000.00";"37343000000.00";2413
"Serbia";"Europe";"12/1/2011";"0.01";"34.00%";"19229.8";"13";"";"16185.00";"43749934551.00";"0.10";"622.00";"279.00";"0.006";"0.40";"0.172";"77";"72";"1.30";"1.00";"0.167";"0.70";"0.14";"7234099.00";"0.55";"1149000000.00";"1263000000.00";2415
"Slovak Republic";"Europe";"12/1/2011";"0.01";"47.60%";"32031.5";"18";"";"17349.00";"95877536836.00";"0.08";"1415.00";"231.00";"0.007";"0.70";"";"80";"72";"1.10";"1.00";"0.150";"0.73";"0.13";"5398384.00";"0.54";"2514000000.00";"2449000000.00";2416
